"Electric Consumption (kWh)","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Total"
"Space Cool",147.5,761.4,455.4,5402.9,10771.9,7947.2,13028.5,20104.4,10506.3,5151.1,1519.1,350.4,76146.1
"Heat Reject.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Refrigeration",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Space Heat",13108.2,10979.8,2149.3,1152.0,33.4,0.0,0.0,0.0,0.0,347.7,1846.6,2599.1,32216.3
"HP Supp.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hot Water",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vent. Fans",355.9,460.0,356.8,731.6,1196.0,719.3,1095.2,1686.2,981.5,900.3,601.1,211.0,9295.1
"Pumps & Aux.",154.5,109.5,75.5,32.0,0.0,0.0,0.0,0.0,0.0,26.0,81.5,128.5,607.5
"Ext. Usage",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Misc. Equip.",3093.1,3335.8,2795.8,3075.0,3539.2,2034.0,2498.4,3688.0,2480.0,3093.1,3372.3,1903.6,34908.5
"Task Lights",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Area Lights",10922.0,11781.6,9870.4,10858.0,12499.4,7177.5,8818.9,13025.2,8754.9,10922.0,11909.6,6715.7,123255.1
"Total",27781.3,27428.2,15703.2,21251.6,28040.0,17878.0,25440.9,38503.8,22722.8,20440.2,19330.2,11908.3,276428.5

"Gas Consumption (kBtu)","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Total"
"Space Cool",0,0,0,0,0,0,0,0,0,0,0,0,0
"Heat Reject.",0,0,0,0,0,0,0,0,0,0,0,0,0
"Refrigeration",0,0,0,0,0,0,0,0,0,0,0,0,0
"Space Heat",0,0,0,0,0,0,0,0,0,0,0,0,0
"HP Supp.",0,0,0,0,0,0,0,0,0,0,0,0,0
"Hot Water",25615,28293,23669,25621,27555,14714,16964,24156,16249,21011,24432,15129,263409
"Vent. Fans",0,0,0,0,0,0,0,0,0,0,0,0,0
"Pumps & Aux.",0,0,0,0,0,0,0,0,0,0,0,0,0
"Ext. Usage",0,0,0,0,0,0,0,0,0,0,0,0,0
"Misc. Equip.",0,0,0,0,0,0,0,0,0,0,0,0,0
"Task Lights",0,0,0,0,0,0,0,0,0,0,0,0,0
"Area Lights",0,0,0,0,0,0,0,0,0,0,0,0,0
"Total",25615,28293,23669,25621,27555,14714,16964,24156,16249,21011,24432,15129,263409

"Electric Demand (kW)","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Total"
"Space Cool",0.000,0.000,0.000,0.000,91.396,105.771,122.406,119.701,107.313,78.471,0.000,0.000,625.058
